Negative sentiment,Positive sentiment
smuttier,
smuttiest,
smutty,
snag,
snagged,
snagging,
snags,
snappish,
snappishly,
snare,
snarky,
snarl,
sneak,
sneakily,
sneaky,
sneer,
sneering,
sneeringly,
snob,
snobbish,
snobby,
snobish,
snobs,
snub,
so-cal,
soapy,
sob,
sober,
sobering,
solemn,
solicitude,
somber,
sore,
sorely,
soreness,
sorrow,
sorrowful,
sorrowfully,
sorry,
sour,
sourly,
spade,
spank,
spendy,
spew,
spewed,
spewing,
spews,
spilling,
spinster,
spiritless,
spite,
spiteful,
spitefully,
spitefulness,
splatter,
split,
splitting,
spoil,
spoilage,
spoilages,
spoiled,
spoilled,
spoils,
spook,
spookier,
spookiest,
spookily,
spooky,
spoon-fed,
spoon-feed,
spoonfed,
sporadic,
spotty,
spurious,
spurn,
sputter,
squabble,
squabbling,
squander,
squash,
squeak,
squeaks,
squeaky,
squeal,
squealing,
squeals,
squirm,
stab,
stagnant,
stagnate,
stagnation,
staid,
stain,
stains,
stale,
stalemate,
stall,
stalls,
stammer,
stampede,
standstill,
stark,
starkly,
startle,
startling,
startlingly,
starvation,
starve,
static,
steal,
stealing,
steals,
steep,
steeply,
stench,
stereotype,
stereotypical,
stereotypically,
stern,
stew,
sticky,
stiff,
stiffness,
stifle,
stifling,
stiflingly,
stigma,
stigmatize,
sting,
stinging,
stingingly,
stingy,
stink,
stinks,
stodgy,
stole,
stolen,
stooge,
stooges,
stormy,
straggle,
straggler,
strain,
strained,
straining,
strange,
strangely,
stranger,
strangest,
strangle,
streaky,
strenuous,
stress,
stresses,
stressful,
stressfully,
stricken,
strict,
strictly,
strident,
stridently,
strife,
strike,
stringent,
stringently,
struck,
struggle,
struggled,
struggles,
struggling,
strut,
stubborn,
stubbornly,
stubbornness,
stuck,
stuffy,
stumble,
stumbled,
stumbles,
stump,
stumped,
stumps,
stun,
stunt,
stunted,
stupid,
stupidest,
stupidity,
stupidly,
stupified,
stupify,
stupor,
stutter,
stuttered,
stuttering,
stutters,
sty,
stymied,
sub-par,
subdued,
subjected,
subjection,
subjugate,
subjugation,
submissive,
subordinate,
subpoena,
subpoenas,
subservience,
subservient,
substandard,
subtract,
subversion,
subversive,
subversively,
subvert,
succumb,
suck,
sucked,
sucker,
sucks,
sucky,
sue,
sued,
sueing,
sues,
suffer,
suffered,
sufferer,
sufferers,
suffering,
suffers,
suffocate,
sugar-coat,
sugar-coated,
sugarcoated,
suicidal,
suicide,
sulk,
sullen,
sully,
sunder,
sunk,
sunken,
superficial,
superficiality,
superficially,
superfluous,
superstition,
superstitious,
suppress,
suppression,
surrender,
susceptible,
suspect,
suspicion,
suspicions,
suspicious,
suspiciously,
swagger,
swamped,
sweaty,
swelled,
swelling,
swindle,
swipe,
swollen,
symptom,
symptoms,
syndrome,
taboo,
tacky,
taint,
tainted,
tamper,
tangle,
tangled,
tangles,
tank,
tanked,
tanks,
tantrum,
tardy,
tarnish,
tarnished,
tarnishes,
tarnishing,
tattered,
taunt,
taunting,
tauntingly,
taunts,
taut,
tawdry,
taxing,
tease,
teasingly,
tedious,
tediously,
temerity,
temper,
tempest,
temptation,
tenderness,
tense,
tension,
tentative,
tentatively,
tenuous,
tenuously,
tepid,
terrible,
terribleness,
terribly,
terror,
terror-genic,
terrorism,
terrorize,
testily,
testy,
tetchily,
tetchy,
thankless,
thicker,
thirst,
thorny,
thoughtless,
thoughtlessly,
thoughtlessness,
thrash,
threat,
threaten,
threatening,
threats,
threesome,
throb,
throbbed,
throbbing,
throbs,
throttle,
thug,
thumb-down,
thumbs-down,
thwart,
time-consuming,
timid,
timidity,
timidly,
timidness,
tin-y,
tingled,
tingling,
tired,
tiresome,
tiring,
tiringly,
toil,
toll,
top-heavy,
topple,
torment,
tormented,
torrent,
tortuous,
torture,
tortured,
tortures,
torturing,
torturous,
torturously,
totalitarian,
touchy,
toughness,
tout,
touted,
touts,
toxic,
traduce,
tragedy,
tragic,
tragically,
traitor,
traitorous,
traitorously,
tramp,
trample,
transgress,
transgression,
trap,
traped,
trapped,
trash,
trashed,
trashy,
trauma,
traumatic,
traumatically,
traumatize,
traumatized,
travesties,
travesty,
treacherous,
treacherously,
treachery,
treason,
treasonous,
trick,
tricked,
trickery,
tricky,
trivial,
trivialize,
trouble,
troubled,
troublemaker,
troubles,
troublesome,
troublesomely,
troubling,
troublingly,
truant,
tumble,
tumbled,
tumbles,
tumultuous,
turbulent,
turmoil,
twist,
twisted,
twists,
two-faced,
two-faces,
tyrannical,
tyrannically,
tyranny,
tyrant,
ugh,
uglier,
ugliest,
ugliness,
ugly,
ulterior,
ultimatum,
ultimatums,
ultra-hardline,
un-viewable,
unable,
unacceptable,
unacceptablely,
unacceptably,
unaccessible,
unaccustomed,
unachievable,
unaffordable,
unappealing,
unattractive,
unauthentic,
unavailable,
unavoidably,
unbearable,
unbearablely,
unbelievable,
unbelievably,
uncaring,
uncertain,
uncivil,
uncivilized,
unclean,
unclear,
uncollectible,
uncomfortable,
uncomfortably,
uncomfy,
uncompetitive,
uncompromising,
uncompromisingly,
unconfirmed,
unconstitutional,
uncontrolled,
unconvincing,
unconvincingly,
uncooperative,
uncouth,
uncreative,
undecided,
undefined,
undependability,
undependable,
undercut,
undercuts,
undercutting,
underdog,
underestimate,
underlings,
undermine,
undermined,
undermines,
undermining,
underpaid,
underpowered,
undersized,
undesirable,
undetermined,
undid,
undignified,
undissolved,
undocumented,
undone,
undue,
unease,
uneasily,
uneasiness,
uneasy,
uneconomical,
unemployed,
unequal,
unethical,
uneven,
uneventful,
unexpected,
unexpectedly,
unexplained,
unfairly,
unfaithful,
unfaithfully,
unfamiliar,
unfavorable,
unfeeling,
unfinished,
unfit,
unforeseen,
unforgiving,
unfortunate,
unfortunately,
unfounded,
unfriendly,
unfulfilled,
unfunded,
ungovernable,
ungrateful,
unhappily,
unhappiness,
unhappy,
unhealthy,
unhelpful,
unilateralism,
unimaginable,
unimaginably,
unimportant,
uninformed,
uninsured,
unintelligible,
unintelligile,
unipolar,
unjust,
unjustifiable,
unjustifiably,
unjustified,
unjustly,
unkind,
unkindly,
unknown,
unlamentable,
unlamentably,
unlawful,
unlawfully,
unlawfulness,
unleash,
unlicensed,
unlikely,
unlucky,
unmoved,
unnatural,
unnaturally,
unnecessary,
unneeded,
unnerve,
unnerved,
unnerving,
unnervingly,
unnoticed,
unobserved,
unorthodox,
unorthodoxy,
unpleasant,
unpleasantries,
unpopular,
unpredictable,
unprepared,
unproductive,
unprofitable,
unprove,
unproved,
unproven,
unproves,
unproving,
unqualified,
unravel,
unraveled,
unreachable,
unreadable,
unrealistic,
unreasonable,
unreasonably,
unrelenting,
unrelentingly,
unreliability,
unreliable,
unresolved,
unresponsive,
unrest,
unruly,
unsafe,
unsatisfactory,
unsavory,
unscrupulous,
unscrupulously,
unsecure,
unseemly,
unsettle,
unsettled,
unsettling,
unsettlingly,
unskilled,
unsophisticated,
unsound,
unspeakable,
unspeakablely,
unspecified,
unstable,
unsteadily,
unsteadiness,
unsteady,
unsuccessful,
unsuccessfully,
unsupported,
unsupportive,
unsure,
unsuspecting,
unsustainable,
untenable,
untested,
unthinkable,
unthinkably,
untimely,
untouched,
untrue,
untrustworthy,
untruthful,
unusable,
unusably,
unuseable,
unuseably,
unusual,
unusually,
unviewable,
unwanted,
unwarranted,
unwatchable,
unwelcome,
unwell,
unwieldy,
unwilling,
unwillingly,
unwillingness,
unwise,
unwisely,
unworkable,
unworthy,
unyielding,
upbraid,
upheaval,
uprising,
uproar,
uproarious,
uproariously,
uproarous,
uproarously,
uproot,
upset,
upseting,
upsets,
upsetting,
upsettingly,
urgent,
useless,
usurp,
usurper,
utterly,
vagrant,
vague,
vagueness,
vain,
vainly,
vanity,
vehement,
vehemently,
vengeance,
vengeful,
vengefully,
vengefulness,
venom,
venomous,
venomously,
vent,
vestiges,
vex,
vexation,
vexing,
vexingly,
vibrate,
vibrated,
vibrates,
vibrating,
vibration,
vice,
vicious,
viciously,
viciousness,
victimize,
vile,
vileness,
vilify,
villainous,
villainously,
villains,
villian,
villianous,
villianously,
villify,
vindictive,
vindictively,
vindictiveness,
violate,
violation,
violator,
violators,
violent,
violently,
viper,
virulence,
virulent,
virulently,
virus,
vociferous,
vociferously,
volatile,
volatility,
vomit,
vomited,
vomiting,
vomits,
vulgar,
vulnerable,
wack,
wail,
wallow,
wane,
waning,
wanton,
war-like,
warily,
wariness,
warlike,
warned,
warning,
warp,
warped,
wary,
washed-out,
waste,
wasted,
wasteful,
wastefulness,
wasting,
water-down,
watered-down,
wayward,
weak,
weaken,
weakening,
weaker,
weakness,
weaknesses,
weariness,
wearisome,
weary,
wedge,
weed,
weep,
weird,
weirdly,
wheedle,
whimper,
whine,
whining,
whiny,
whips,
whore,
whores,
wicked,
wickedly,
wickedness,
wild,
wildly,
wiles,
wilt,
wily,
wimpy,
wince,
wobble,
wobbled,
wobbles,
woe,
woebegone,
woeful,
woefully,
womanizer,
womanizing,
worn,
worried,
worriedly,
worrier,
worries,
worrisome,
worry,
worrying,
worryingly,
worse,
worsen,
worsening,
worst,
worthless,
worthlessly,
worthlessness,
wound,
wounds,
wrangle,
wrath,
wreak,
wreaked,
wreaks,
wreck,
wrest,
wrestle,
wretch,
wretched,
wretchedly,
wretchedness,
wrinkle,
wrinkled,
wrinkles,
wrip,
wripped,
wripping,
writhe,
wrong,
wrongful,
wrongly,
wrought,
yawn,
zap,
zapped,
zaps,
zealot,
zealous,
zealously,
zombie,
